FullAddress,CommunityName ,PropertyID,CountyState,Risk,HousingCompany,PrivateEquityFirm,Units,YearAcquired,Fannie/Freddie,PropertyType,Latitude,Longitude,,
"980 E Broadway Ave Apache Junction,AZ 85119",White Sands Estates,AZ-White Sands Estates-980,"Pinal, AZ",Relatively Moderate,Treehouse Communities,The Blackstone Group,69,2003,Fannie Mae,Manufactured Housing,33.409563,-111.535643,,
"56 River Oak Circle Mills River,NC 28759",River Oak,NC-River Oak-56,"Henderson, NC",Relatively Moderate,RHP Properties (RHP),RHP Properties,69,N/A,No,Manufactured Housing,35.381195,-82.553833,,
"2795 Elizabeth St Canon City,CO 81212",Canon City MHC,CO-Canon City MHC-2795,"Fremont, CO",Relatively Low,Horizon Land Company,Federal Capital Partners,68,N/A,No,Manufactured Housing,38.462094,-105.207011,,
"W10445 Highway 16 Portage,WI 53901",Oakwood Terrace,WI-Oakwood Terrace -W10445,"Columbia, WI",Relatively Moderate,RHP Properties (RHP),RHP Properties,68,N/A,No,Manufactured Housing,43.561676,-89.520765,,
"4960 S Seneca St Wichita,KS 67217",El Caudillo,KS-El Caudillo-4960,"Sedgwick, KS",Relatively High,RHP Properties (RHP),RHP Properties,67,2024,No,Manufactured Housing,37.604943,-97.351856,,
"212 West Young Street Rolesville,NC 27571",Granite Acres,NC-Granite Acres-212,"Wake, NC",Relatively High,Horizon Land Company,Federal Capital Partners,67,2021,No,Manufactured Housing,35.930097,-78.460186,,
"601 W 5th St Skiatook,OK 74070",Westside Mobile Home Park,OK-Westside Mobile Home Park-601,"Osage, OK",Relatively Low,Impact Communities,MHP Funds,67,N/A,No,Manufactured Housing,36.365383,-96.008636,,
"1272 West Lyon St Laramie,WY 82072",Mountain View Estates,WY-Mountain View Estates-1272,"Albany, WY",Relatively Low,Impact Communities,MHP Funds,67,N/A,Freddie Mac,Manufactured Housing,41.325534,-105.612783,,
"120 Highway Street NW Dodge Center,MN 55927",Valley View,MN-Valley View-120,"Dodge, MN",Very Low,RHP Properties (RHP),RHP Properties,67,2020,No,Manufactured Housing,44.032552,-92.856375,,
"5100 Kay Dr Edwardsville,IL 62025",Quail Run Mobile Home Community,IL-Quail Run Mobile Home Community-5100,"Madison, IL",Relatively Moderate,Knights Communities,Keel Team,67,N/A,Fannie Mae,Manufactured Housing,38.78762,-90.028784,,
"101 1/2 Willow St Crookston,MN 56716",North Acres Estates,MN-North Acres Estates-101,"Polk, MN",Relatively Low,Knights Communities,Keel Team,67,N/A,No,Manufactured Housing,47.705082,-96.412,,
"301 Airport Blvd Santa Rosa,CA",Redwood Village Mobile Park,CA-Redwood Village Mobile Park-301,"Sonoma, CA",Relatively High,Treehouse Communities,,67,N/A,N/A,Manufactured Housing,38.511358,-122.767368,,
"5601 McAbee Lane Chattanooga,TN 37415",Stone and Smitty ,TN-Stone and Smitty -5601,"Hamilton, TN",Relatively Moderate,Homes of America,Alden Global Capital,66,2022,No,Manufactured Housing,35.151551,-85.271479,,
"6791 Highway 2 Thornton,CO 80002",Shady Lane,CO-Shady Lane-6791,"Adams, CO",Relatively Moderate,RHP Properties (Brookfield),Brookfield Corporation,66,2017,No,Manufactured Housing,39.818371,-104.926714,,
"350 NE 7 Street Hallandale Beach,FL 33009",Sea Esta Trailer Court,FL-Sea Esta Trailer Court-350,"Broward, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,66,2011,Fannie Mae,Manufactured Housing,25.992593,-80.144839,,
"215 Hwy 290 Hot Springs,AR 71913",Bayshore Mobile Home Park,AR-Bayshore Mobile Home Park-215,"Garland, AR",Relatively Moderate,Riverstone Communities,Riverstone Capital Partners,66,2013,No,Manufactured Housing,34.412268,-93.088172,,
"1121 244th St SW Bothell,WA 98021",The Pointe at Lockwood,WA-The Pointe at Lockwood-1121,"Snohomish, WA",Relatively High,The Carlyle Group,The Carlyle Group,66,2020,No,Manufactured Housing,47.780446,-122.248311,,
"2712 Larrabee Ave Denver,IA 50622",Meadow Lane,IA-Meadow Lane-2712,"Bremer, IA",Very Low,Impact Communities,MHP Funds,66,2022,Freddie Mac,Manufactured Housing,42.654717,-92.33743,,
"4041 Conowingo Road Darlington,MD 21034",Darlington Meadows,MD-Darlington Meadows -4041,"Harford, MD",Relatively Low,RHP Properties (RHP),RHP Properties,66,N/A,Fannie Mae,Manufactured Housing,39.649429,-76.2397,,
"1016 N Brandy Ln Ludington,MI 49431",River Meadow Homesite Community,MI-River Meadow Homesite Community-1016,"Mason, MI",Very Low,Knights Communities,Keel Team,66,N/A,N/A,Manufactured Housing,43.974594,-86.405696,,
"17468 Wacakoneta Rd Grand Rapids,OH 43522",Grand Rapids Estates,OH-Grand Rapids Estates-17468,"Wood, OH",Relatively Low,MHC Capital,MHC Capital,66,N/A,N/A,Manufactured Housing,41.394707,-83.834935,,
"601 W 5th St Skiatook,OK 74070",Westside Mobile Home Park,OK-Westside Mobile Home Park-601,"Osage, OK",Relatively Low,Impact Communities,MHP Funds,66,2022,N/A,Manufactured Housing,36.365383,-96.008636,,
"15812 LIVINGSTON AVE Lutz,FL 33549",Livingston Family Communities,FL-Livingston Family Communities-15812,"Hillsborough, FL",Relatively High,Homes of America,Alden Global Capital,65,2022,No,Manufactured Housing,28.094767,-82.431023,,
"6100 W Lincoln Way Ames,IA 50014",Maple Grove,IA-Maple Grove-6100,"Boone, IA",Very Low,Horizon Land Company,Federal Capital Partners,65,2021,No,Manufactured Housing,42.022021,-93.703149,,
"635 SE Ewing St Grimes,IA 50111",Grimes MHP,IA-Grimes MHP-635,"Polk, IA",Relatively Moderate,Impact Communities,MHP Funds,65,2022,Freddie Mac,Manufactured Housing,41.682926,-93.793332,,
"1841 Trosper Rd SW Tumwater,WA 98512",Western Plaza,WA-Western Plaza-1841,"Thurston, WA",Relatively High,Legacy Communities,Legacy Communities,65,N/A,N/A,Manufactured Housing,46.999702,-122.925325,,
"1619 North Douglas Blvd Midwest City,OK 73130",Glenview,OK-Glenview-1619,"Oklahoma, OK",Relatively High,Yes! Communities,Stockbridge Capital Group,64,2012,Fannie Mae,Manufactured Housing,35.485404,-97.371176,,
"1619 North Douglas Blvd Midwest City,OK 73130",Misty Hollow,OK-Misty Hollow-1619,"Oklahoma, OK",Relatively High,Yes! Communities,Stockbridge Capital Group,64,2012,No,Manufactured Housing,35.485404,-97.371176,,
"309 Walmart Drive Soddy-Daisy,TN 37379",Mountain Shade,TN-Mountain Shade-309,"Hamilton, TN",Relatively Moderate,Homes of America,Alden Global Capital,64,2022,No,Manufactured Housing,35.257006,-85.184543,,
"98 White Oak Dr New Baden,IL 62265",Heatherlynn Estates Mobile Home Park,IL-Heatherlynn Estates Mobile Home Park-98,"St. Clair, IL",Relatively High,Homes of America,Alden Global Capital,64,2021,No,Manufactured Housing,38.536071,-89.710058,,
"214 Jones Rd Saratoga Springs,NY 12866",Birch Meadows,NY-Birch Meadows-214,"Saratoga, NY",Relatively Low,RHP Properties (Brookfield),Brookfield Corporation,64,2017,No,Manufactured Housing,43.127647,-73.748756,,
"1700 North Gateway Rd Las Vegas,NV 89115",Bramblewood,NV-Bramblewood-1700,"Clark, NV",Very High,Inspire Communities,Apollo Global Management,64,2021,No,Manufactured Housing,36.190159,-115.085636,,
"63 1/2 Shemauger Trail Urbana,IL 61802",Chief Illini,IL-Chief Illini-63,"Champaign, IL",Relatively Moderate,Horizon Land Company,Federal Capital Partners,64,N/A,No,Manufactured Housing,40.119262,-88.177387,,
"25938 Kings Lane Millsboro,DE 19966",Enchanted Acres,DE-Enchanted Acres-25938,"Sussex, DE",Relatively Moderate,Horizon Land Company,Federal Capital Partners,64,N/A,No,Manufactured Housing,38.632296,-75.175819,,
"3233 Pratt Rd Batavia,NY 14020",Ridgewood MHC,NY-Ridgewood MHC-3233,"Genesee, NY",Relatively Low,Horizon Land Company,Federal Capital Partners,64,2015,Fannie Mae,Manufactured Housing,43.015719,-78.267993,,
"915 SW 5 Street Hallandale Beach,FL 33009",Sunnydale MHP,FL-Sunnydale MHP-915,"Broward, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,64,2002,Fannie Mae,Manufactured Housing,25.991792,-80.139339,,
"3318 Orange Ave Fort Pierce,FL 34947",Seminole Mobile Home Park,FL-Seminole Mobile Home Park-3318,"St. Lucie, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,64,2000,No,Manufactured Housing,27.448193,-80.360179,,
"1820 Wald Rd New Braunfels,TX 78132",Canyon Creek Ranch,TX-Canyon Creek Ranch-1820,"Comal, TX",Relatively Moderate,Horizon Land Company,Federal Capital Partners,64,2022,No,Manufactured Housing,29.680852,-98.166164,,
"1810 Boston Post Rd. Westbrook,CT 06498",Green Acres,CT-Green Acres -1810,"Lower Connecticut River Valley, CT",Relatively Moderate,RHP Properties (RHP),RHP Properties,64,2004,No,Manufactured Housing,41.281681,-72.428137,,
"14622 N. Nebraska Ave. Tampa,FL 33613",Chalet Village,FL-Chalet Village -14622,"Hillsborough, FL",Relatively High,RHP Properties (RHP),RHP Properties,64,N/A,No,Manufactured Housing,28.081379,-82.45171,,
"2906 Otranto Rd North Charleston,SC 29406",Otranto Acres,SC-Otranto Acres-2906,"Charleston, SC",Relatively High,Horizon Land Company,Federal Capital Partners,63,N/A,No,Manufactured Housing,32.962499,-80.066307,,
"12665 Dem Con Dr Shakopee,MN 55379",Jackson Heights MHC,MN-Jackson Heights MHC-12665,"Scott, MN",Relatively Low,Impact Communities,MHP Funds,63,N/A,Freddie Mac,Manufactured Housing,44.767766,-93.582238,,
"4101 Hoover Avenue South Plover,WI 54467",Plover Pointe Manor,WI-Plover Pointe Manor -4101,"Portage, WI",Relatively Low,RHP Properties (RHP),RHP Properties,63,N/A,Fannie Mae,Manufactured Housing,44.436418,-89.52932,,
"3168 N. Romero Road Tucson,AZ 85705",Arizonan,AZ-Arizonan -3168,"Pima, AZ",Relatively High,RHP Properties (RHP),RHP Properties,63,N/A,Freddie Mac,Manufactured Housing,32.264713,-111.002103,,
"40 Lee Dr Mount Vernon,IN 47620",Russell Mobile Home Park,IN-Russell Mobile Home Park-40,"Posey, IN",Relatively Low,Homes of America,Alden Global Capital,62,2022,No,Manufactured Housing,37.932894,-87.910346,,
"4975 S M 37 Hwy Hastings,MI 49058",Baltimore Terrace Mobile Home Park,MI-Baltimore Terrace Mobile Home Park-4975,"Barry, MI",Relatively Low,Homes of America,Alden Global Capital,62,2021,No,Manufactured Housing,42.580715,-85.265994,,
"3100 W Baseline Rd Albion,IN 46701",Shady Haven Mobile Home Park,IN-Shady Haven Mobile Home Park-3100,"Noble, IN",Relatively Low,Homes of America,Alden Global Capital,62,2021,No,Manufactured Housing,41.35352,-85.482419,,
"23604 36th Ave Ravenna,MI 49451",Cricklewood Court,MI-Cricklewood Court-23604,"Ottawa, MI",Relatively Moderate,Homes of America,Alden Global Capital,62,2021,No,Manufactured Housing,43.199297,-85.8792,,
"5570 Connie Jean Rd Jacksonville,FL 32222",Connie Jean,FL-Connie Jean-5570,"Duval, FL",Relatively High,RHP Properties (RHP),RHP Properties,62,2017,No,Manufactured Housing,30.245105,-81.824481,,
"7042 W Main Rd Lima,NY 14485",Lima Farms,NY-Lima Farms-7042,"Livingston, NY",Relatively Low,Windward Communities,Green Courte Partners,62,2020,No,Manufactured Housing,42.902427,-77.625736,,
"2201 S 15th St Laramie,WY 82070",7 Acres/ Shadow Ridge,WY-7 Acres/ Shadow Ridge-2201,"Albany, WY",Relatively Low,Impact Communities,MHP Funds,62,N/A,No,Manufactured Housing,41.294234,-105.578065,,
"815 West Park Avenue Chippewa Falls,WI 54729",Indianhead Manor,WI-Indianhead Manor -815,"Chippewa, WI",Relatively Low,RHP Properties (RHP),RHP Properties,62,N/A,Fannie Mae,Manufactured Housing,44.916007,-91.397596,,
"9401 Fowler Ave E Thonotosassa,FL 33592",Happy Traveler RV Park and Resort,FL-Happy Traveler RV Park and Resort-9401,"Hillsborough, FL",Relatively High,Homes of America,Alden Global Capital,62,2022,N/A,Manufactured Housing,28.053308,-82.339078,,
"7122 West Bendixon Dr West Valley City,UT 84128",Kopper View,UT-Kopper View-7122,"Salt Lake, UT",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,61,2017,Fannie Mae,Manufactured Housing,40.711653,-112.061311,,
"2334 Mccann Ave Cheyenne,WY 82007",Englewood Village,WY-Englewood Village-2334,"Laramie, WY",Relatively Low,RHP Properties (Brookfield),Brookfield Corporation,61,2017,No,Manufactured Housing,41.142488,-104.765269,,
"300 E Arbor St Long Beach,CA 90805",Arbor Mobile Village,CA-Arbor Mobile Village-300,"Los Angeles, CA",Very High,Inspire Communities,Apollo Global Management,61,2021,No,Manufactured Housing,33.843842,-118.189813,,
"4800 Griffin Rd Davie,FL 33314",Driftwood Acres,FL-Driftwood Acres-4800,"Broward, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,61,2015,Fannie Mae,Manufactured Housing,26.061745,-80.210403,,
"1066 Miller Rd Plainwell,MI 49080","Gun River MHC, West Park","MI-Gun River MHC, West Park-1066","Allegan, MI",Relatively Low,MHC Capital,MHC Capital,61,N/A,N/A,Manufactured Housing,42.46024,-85.648627,,
"7122 W Bendixon Dr West Valley City,UT 84128",Kopper View,UT-Kopper View -7122,"Salt Lake, UT",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,61,2017,N/A,Manufactured Housing,40.711653,-112.061311,,
"4842 Double D Cir Tampa,FL 33610",Country Aire Community,FL-Country Aire Community-4842,"Hillsborough, FL",Relatively High,Homes of America,Alden Global Capital,60,2022,No,Manufactured Housing,27.990398,-82.314491,,
"14236 Max Hooks Rd Clermont,FL 34711",Oak Lane Mobile Home Park,FL-Oak Lane Mobile Home Park-14236,"Lake, FL",Relatively Moderate,Homes of America,Alden Global Capital,60,2021,No,Manufactured Housing,28.555637,-81.805988,,
"503 Doherty St Chapel Hill,NC 27516",Ridgewood Mobile Home park,NC-Ridgewood Mobile Home park-503,"Orange, NC",Relatively Low,Homes of America,Alden Global Capital,60,2021,No,Manufactured Housing,35.882162,-79.114307,,
"1505 N Evergreen St Chandler,AZ 85225",Evergreen Villa,AZ-Evergreen Villa-1505,"Maricopa, AZ",Very High,Treehouse Communities,The Blackstone Group,60,2018,Fannie Mae,Manufactured Housing,33.330587,-111.854414,,
"3012 Cranberry Highway East Wareham,MA 02538",Mogan's Mobile Home Park,MA-Mogan's Mobile Home Park -3012,"Plymouth, MA",Relatively Moderate,Legacy Communities,Legacy Communities,60,2021,Freddie Mac,Manufactured Housing,41.760354,-70.663211,,
"106 Sandra Dr Punxsutawney,PA 15767",Mahoning Mobile Home Park,PA-Mahoning Mobile Home Park-106,"Indiana, PA",Relatively Low,Knights Communities,Keel Team,60,N/A,Fannie Mae,Manufactured Housing,40.573071,-79.143154,,
"15 Smithville Trailer Park Covington,TN 38019",Smithville Mobile Home Park,TN-Smithville Mobile Home Park-15,"Tipton, TN",Relatively Moderate,Knights Communities,Keel Team,60,N/A,N/A,Manufactured Housing,35.535822,-89.668501,,
"101 1st Avenue Slater,IA 50244",Hammond Estates,IA-Hammond Estates-101,"Story, IA",Relatively Low,Horizon Land Company,Federal Capital Partners,59,2021,No,Manufactured Housing,41.884011,-93.678861,,
"8827 Deerwood Dr North Charleston,SC 29406",Whispering PInes MHC,SC-Whispering PInes MHC-8827,"Charleston, SC",Relatively High,Horizon Land Company,Federal Capital Partners,59,2021,No,Manufactured Housing,32.967474,-80.065702,,
"601 North Main Street, Fall River,WI 53932",Falls View,WI-Falls View -601,"Columbia, WI",Relatively Moderate,RHP Properties (RHP),RHP Properties,59,N/A,Fannie Mae,Manufactured Housing,43.391561,-89.037462,,
"5653 Dixie Hwy Saginaw,MI 48601",Sagniaw Mobile Home Park,MI-Sagniaw Mobile Home Park-5653,"Saginaw, MI",Relatively Moderate,Knights Communities,Keel Team,59,N/A,N/A,Manufactured Housing,43.376492,-83.894165,,
"345 Jackson St Berne,IN 46711",Berne Mobile Home Park,IN-Berne Mobile Home Park-345,"Adams, IN",Relatively Low,Knights Communities,Keel Team,59,N/A,Fannie Mae,Manufactured Housing,40.660312,-84.94679,,
"202 7th Ave S Crookston,MN 56716",Carmen Terrace Mobile Home Park,MN-Carmen Terrace Mobile Home Park-202,"Polk, MN",Relatively Low,Knights Communities,Keel Team,59,N/A,No,Manufactured Housing,47.757226,-96.619432,,
"102 Horseshoe Drive Beckley,WV 25801",Hummingbird Hils,WV-Hummingbird Hils-102,"Raleigh, WV",Relatively Low,Inspire Communities,Apollo Global Management,58,N/A,No,Manufactured Housing,37.767002,-81.237863,,
"3351 Denmark Rd Mobile,AL 36617",Green Oaks Mobile Home Park,AL-Green Oaks Mobile Home Park-3351,"Mobile, AL",Relatively High,Homes of America,Alden Global Capital,57,2021,No,Manufactured Housing,30.760819,-88.222327,,
"1618 W Jefferson St Springfield,IL 62702",Gaslite Senior Mobile Home Court,IL-Gaslite Senior Mobile Home Court-1618,"Sangamon, IL",Relatively Moderate,Homes of America,Alden Global Capital,57,2021,No,Manufactured Housing,39.805382,-89.681742,,
"58 Bridle Lane Urbana,IL 61802",Carriage Estates MHC,IL-Carriage Estates MHC-58,"Champaign, IL",Relatively Moderate,Horizon Land Company,Federal Capital Partners,57,2021,No,Manufactured Housing,40.117922,-88.180344,,
"185 Bradley Branch Rd. Arden,NC 28704",Wellington West,NC-Wellington West -185,"Buncombe, NC",Relatively Moderate,RHP Properties (RHP),RHP Properties,57,N/A,No,Manufactured Housing,35.459822,-82.532054,,
"5001 Habersham Lane Tampa,FL 33619",Glenwood Mobile Homes,FL-Glenwood Mobile Homes-5001,"Hillsborough, FL",Relatively High,Homes of America,Alden Global Capital,56,2022,No,Manufactured Housing,27.927632,-82.401007,,
"5902 North Orange Blossom Rd Mt Dora,FL 32757",Sunny Pines,FL-Sunny Pines-5902,"Orange, FL",Relatively High,Inspire Communities,Apollo Global Management,56,2021,No,Manufactured Housing,28.768969,-81.624962,,
"3441 S Joles Pkwy Chippewa Falls,WI 54729",Twin City MHP,WI-Twin City MHP-3441,"Chippewa, WI",Relatively Low,Impact Communities,MHP Funds,56,N/A,No,Manufactured Housing,44.891169,-91.423523,,
"3626 Seymour Rd Eau Claire,WI 54703",Terrace Hills MHP,WI-Terrace Hills MHP-3626,"Eau Claire, WI",Relatively Low,Impact Communities,MHP Funds,56,N/A,Freddie Mac,Manufactured Housing,44.82674,-91.460486,,
"8481 South 5th Avenue Oak Creek,WI 53154",Sunrise Shores,WI-Sunrise Shores -8481,"Milwaukee, WI",Relatively High,RHP Properties (RHP),RHP Properties,56,N/A,Fannie Mae,Manufactured Housing,42.889415,-87.855766,,
"5415 Southern Ct Fort Wayne,IN 46806",Southern Court Mobile Home Park,IN-Southern Court Mobile Home Park-5415,"Allen, IN",Relatively Moderate,Knights Communities,Keel Team,56,N/A,N/A,Manufactured Housing,41.034385,-85.126394,,
"1730 Port Clinton Rd Fremont,OH 43420",Berch Terrace Mobile Home Park,OH-Berch Terrace Mobile Home Park-1730,"Sandusky, OH",Relatively Low,Knights Communities,Keel Team,56,N/A,N/A,Manufactured Housing,41.366616,-83.112906,,
"15070 E Colonial Dr Orlando,FL 32826",Big Oaks Mobile Home Park,FL-Big Oaks Mobile Home Park-15070,"Orange, FL",Relatively High,Homes of America,Alden Global Capital,55,2021,No,Manufactured Housing,28.565032,-81.160379,,
"9505 N Bedford Rd Macedonia,OH 44056",Ledgewood,OH-Ledgewood-9505,"Summit, OH",Relatively Moderate,Horizon Land Company,Federal Capital Partners,55,N/A,Fannie Mae,Manufactured Housing,41.342406,-81.508824,,
"Constitution Way Duncansville,PA 16635",Independence Place,PA-Independence Place-Constitution,"Blair, PA",Relatively Low,Legacy Communities,Legacy Communities,55,N/A,N/A,Manufactured Housing,40.4336,-78.410801,,
"1110 Glenbriar Ct Mountain Home,AR 72653",Glenbriar Park,AR-Glenbriar Park-1110,"Baxter, AR",Relatively Low,Knights Communities,Keel Team,55,N/A,Fannie Mae,Manufactured Housing,36.324815,-92.363352,,
"1401 N Illinois St Swansea,IL 62226",Swansea Village Mobile Home Park,IL-Swansea Village Mobile Home Park-1401,"St. Clair, IL",Relatively High,Homes of America,Alden Global Capital,54,2021,No,Manufactured Housing,38.528041,-89.984769,,
"2600 Pineapple Ave Melbourne,FL 32935",Hollandale,FL-Hollandale-2600,"Brevard, FL",Relatively High,Riverstone Communities,Riverstone Capital Partners,54,2006,Fannie Mae,Manufactured Housing,28.149248,-80.637027,,
"8 Race Path Way Asheville,NC 28806",Ridgeview,NC-Ridgeview -8,"Buncombe, NC",Relatively Moderate,RHP Properties (RHP),RHP Properties,54,N/A,No,Manufactured Housing,35.604304,-82.608546,,
"404 Lincoln Avenue Reeseville,WI 53579",Reeseville Acres,WI-Reeseville Acres-404,"Dodge, WI",Relatively Low,RHP Properties (RHP),RHP Properties,53,2022,No,Manufactured Housing,43.307605,-88.839794,,
"5225 S Orange Blossom Trail Orlando,FL 32829",Wheel Estates,FL-Wheel Estates-5225,"Orange, FL",Relatively High,RHP Properties (Brookfield),Brookfield Corporation,53,2017,No,Manufactured Housing,28.485238,-81.395261,,
"3736 FM 482 New Braunfels,TX 78132",Brookfield Estates,TX-Brookfield Estates-3736,"Comal, TX",Relatively Moderate,Horizon Land Company,Federal Capital Partners,53,2023,No,Manufactured Housing,29.671818,-98.163357,,
"608 Blaine Pike Portland,IN 47371",Sunny Days MHC,IN-Sunny Days MHC-608,"Jay, IN",Very Low,Impact Communities,MHP Funds,53,N/A,Freddie Mac,Manufactured Housing,40.42626,-84.988395,,
"73651 Chambers St South Haven,MI",South Haven Mobile Home Park,MI-South Haven Mobile Home Park-73651,"Van Buren, MI",Relatively Low,Homes of America,Alden Global Capital,53,2021,N/A,Manufactured Housing,42.399012,-86.26079,,
"1977 Whitehall Rd Muskegon,MI 49445",Shady Oaks,MI-Shady Oaks-1977,"Muskegon, MI",Relatively Low,Homes of America,Alden Global Capital,53,2021,N/A,Manufactured Housing,43.291245,-86.261581,,
"7701 Brighton Blvd Commerce City,CO 80022",Commerce Heights,CO-Commerce Heights-7701,"Adams, CO",Relatively Moderate,RHP Properties (Brookfield),Brookfield Corporation,52,2017,No,Manufactured Housing,39.837982,-104.925315,,
"2155 County Rd X C-15 Mosinee,WI 54455",Kountry Squire,WI-Kountry Squire-2155,"Marathon, WI",Relatively Moderate,RHP Properties (RHP),RHP Properties,52,2022,No,Manufactured Housing,44.845258,-89.609425,,
"1030 N Delaware Dr Apache Junction,AZ 85120",Minari,AZ-Minari-1030,"Pinal, AZ",Relatively Moderate,Treehouse Communities,The Blackstone Group,52,2018,Fannie Mae,Manufactured Housing,33.424613,-111.57315,,
"4733 NW Green Hills Ct Riverside,MO 64150",Green Hills,MO-Green Hills-4733,"Platte, MO",Relatively Low,Horizon Land Company,Federal Capital Partners,52,2021,No,Manufactured Housing,39.180162,-94.647575,,
"2436 N Austin St Seguin,TX 78155",Springshire Estates,TX-Springshire Estates-2436,"Guadalupe, TX",Relatively Moderate,Horizon Land Company,Federal Capital Partners,52,N/A,No,Manufactured Housing,29.594723,-97.965521,,
"410 Glenair St Princeton,WV 24739",Elk View,WV-Elk View-410,"Mercer, WV",Relatively Low,Homes of America,Alden Global Capital,52,2021,No,Manufactured Housing,37.329885,-81.149832,,
"2911 Ervien Ln SW Albuquerque,NM 87121",Riverside West,NM-Riverside West-2911,"Bernalillo, NM",Relatively High,Impact Communities,MHP Funds,52,N/A,No,Manufactured Housing,35.042622,-106.712621,,
"4 Lawrence Lane St. Charles,MN 55972",Sherwood Park,MN-Sherwood Park -4,"Winona, MN",Relatively Low,RHP Properties (RHP),RHP Properties,52,N/A,Fannie Mae,Manufactured Housing,43.965587,-92.072315,,
"208 S Main St Etna Green,IN 46524",Etna Green Mobile Home Park,IN-Etna Green Mobile Home Park-208,"Kosciusko, IN",Relatively Low,Knights Communities,Keel Team,52,N/A,Fannie Mae,Manufactured Housing,41.275102,-86.051677,,
"206 Tilghman Ave Federalsburg,MD 21632",Tilghman,MD-Tilghman-206,"Caroline, MD",Relatively Low,Sunrise Communities,Sunrise Communities,52,N/A,N/A,Manufactured Housing,38.690953,-75.786038,,
"2700 N Woodland Blvd Deland,FL 32720",Lakeside Mobile Home Park,FL-Lakeside Mobile Home Park-2700,"Volusia, FL",Relatively High,Homes of America,Alden Global Capital,52,2021,N/A,Manufactured Housing,29.079446,-81.317072,,
"1951 N Hampton Rd Boise,ID",Hampton Mobile Estates,ID-Hampton Mobile Estates-1951,"Ada, ID",Relatively Moderate,Impact Communities,MHP Funds,52,2016,N/A,Manufactured Housing,43.622333,-116.310574,,
"4835 Sturgis Rd Rapid City,SD 57702",Cimarron Park,SD-Cimarron Park-4835,"Pennington, SD",Relatively Low,Impact Communities,MHP Funds,51,N/A,No,Manufactured Housing,44.137695,-103.30373,,
"5201 S Haggerty Rd. Canton,MI 48188",Glen Ridge,MI-Glen Ridge -5201,"Wayne, MI",Relatively High,RHP Properties (RHP),RHP Properties,51,N/A,No,Manufactured Housing,42.269811,-83.446302,,
"905 E 3rd Ave Coal Valley,IL 61240",Whispering Hills,IL-Whispering Hills-905,"Rock Island, IL",Relatively Moderate,Yes! Communities,Stockbridge Capital Group,50,2012,Fannie Mae,Manufactured Housing,41.509119,-90.416353,,
"1120 E Laurel Ave Foley,AL 36535",Cedar Grove Mobile Home Park,AL-Cedar Grove Mobile Home Park-1120,"Baldwin, AL",Relatively High,Homes of America,Alden Global Capital,50,2022,No,Manufactured Housing,30.404952,-87.661635,,
"3720 Black Highway Adrian,MI 49221",Sunset Mobile Home Park,MI-Sunset Mobile Home Park-3720,"Lenawee, MI",Relatively Low,Homes of America,Alden Global Capital,50,2021,No,Manufactured Housing,41.944543,-83.98973,,
"4530 9th Street E Bradenton,FL 34208",Twin Oaks Mobile Home Park of Bradenton,FL-Twin Oaks Mobile Home Park of Bradenton-4530,"Manatee, FL",Relatively High,The Carlyle Group,The Carlyle Group,50,2018,No,Manufactured Housing,27.459783,-82.556286,,
"2400 Arroyo Dr Durango,CO 81301",Apache Mobile Home Park,CO-Apache Mobile Home Park-2400,"La Plata, CO",Relatively Low,Impact Communities,MHP Funds,50,N/A,Freddie Mac,Manufactured Housing,37.291786,-107.885116,,
"1119 S Main St Lumberton,TX 77657",Lumberton Manufactured Home Community,TX-Lumberton Manufactured Home Community-1119,"Hardin, TX",Relatively Low,Impact Communities,MHP Funds,50,N/A,No,Manufactured Housing,30.235887,-94.194536,,
"1830 Royle Rd Summerville,SC 29486",Royle Court,SC-Royle Court-1830,"Berkeley, SC",Relatively High,Impact Communities,MHP Funds,50,N/A,Freddie Mac,Manufactured Housing,33.040516,-80.112638,,
"1119 S. Main St Lumberton,TX 77657",Lumberton,TX-Lumberton-1119,"Hardin, TX",Relatively Low,Impact Communities,MHP Funds,50,N/A,No,Manufactured Housing,30.235887,-94.194536,,
"134 East Forest St Lone Rock,WI 53556",River Rock MHP,WI-River Rock MHP-134,"Richland, WI",Relatively Low,Impact Communities,MHP Funds,50,N/A,No,Manufactured Housing,43.187674,-90.197703,,
"N4510 County Rd A Cambridge,WI 53523",Breezy Knoll Community,WI-Breezy Knoll Community-N4510,"Jefferson, WI",Relatively Low,Impact Communities,MHP Funds,50,2021,Freddie Mac,Manufactured Housing,43.00852,-88.966469,,
"5405 NE 77th Ct Vancouver,WA 98662",Idylwood,WA-Idylwood-5405,"Clark, WA",Relatively Moderate,Crow Holdings,Crow Holdings Capital - Real Estate,50,2021,No,Manufactured Housing,45.661096,-122.594756,,
"155 N Ivy St. Branford,CT 06404",Highland Bluff,CT-Highland Bluff -155,"South Central Connecticut, CT",Relatively High,RHP Properties (RHP),RHP Properties,50,2004,No,Manufactured Housing,41.289661,-72.816461,,
